0930,3791.66
0931,3797.52
0932,3803.01
0933,3801.02
0934,3807.71
0935,3817.68
0936,3815.29
0937,3813.30
0938,3809.65
0939,3806.33
0940,3805.74
0941,3807.03
0942,3801.13
0943,3801.78
0944,3803.49
0945,3812.44
0946,3814.23
0947,3810.35
0948,3811.89
0949,3814.53
0950,3812.29
0951,3812.15
0952,3806.58
0953,3805.59
0954,3802.00
0955,3799.93
0956,3812.67
0957,3819.94
0958,3822.21
0959,3823.65
1000,3824.34
1001,3819.07
1002,3823.23
1003,3830.99
1004,3827.16
1005,3828.43
1006,3826.56
1007,3826.41
1008,3824.36
1009,3823.04
1010,3822.61
1011,3820.25
1012,3820.90
1013,3814.95
1014,3812.51
1015,3812.56
1016,3806.13
1017,3806.41
1018,3804.16
1019,3798.72
1020,3803.17
1021,3798.65
1022,3796.71
1023,3799.40
1024,3791.98
1025,3796.95
1026,3798.93
1027,3798.68
1028,3796.09
1029,3793.60
1030,3789.93
1031,3786.43
1032,3782.85
1033,3791.42
1034,3787.76
1035,3782.75
1036,3780.02
1037,3783.30
1038,3781.03
1039,3788.75
1040,3792.01
1041,3794.30
1042,3796.80
1043,3796.17
1044,3798.41
1045,3804.10
1046,3811.68
1047,3812.30
1048,3813.19
1049,3812.75
1050,3816.42
1051,3816.00
1052,3815.16
1053,3815.79
1054,3816.98
1055,3811.86
1056,3813.52
1057,3817.19
1058,3820.55
1059,3824.47
1100,3822.89
1101,3827.98
1102,3826.73
1103,3825.15
1104,3823.42
1105,3825.44
1106,3821.07
1107,3819.45
1108,3819.22
1109,3819.71
1110,3822.68
1111,3823.31
1112,3822.54
1113,3818.20
1114,3816.47
1115,3816.06
1116,3815.66
1117,3819.02
1118,3816.38
1119,3813.25
1120,3812.33
1121,3810.92
1122,3811.32
1123,3808.39
1124,3807.92
1125,3811.00
1126,3813.45
1127,3813.62
1128,3810.90
1129,3809.36
1130,3808.39
1300,3808.39
1301,3807.36
1302,3799.60
1303,3801.87
1304,3802.82
1305,3806.36
1306,3806.41
1307,3801.59
1308,3801.07
1309,3798.69
1310,3803.97
1311,3806.91
1312,3800.04
1313,3796.99
1314,3800.12
1315,3798.41
1316,3796.63
1317,3795.79
1318,3789.78
1319,3791.33
1320,3798.67
1321,3794.30
1322,3791.66
1323,3791.77
1324,3788.09
1325,3788.61
1326,3789.52
1327,3788.25
1328,3792.29
1329,3789.66
1330,3785.72
1331,3787.20
1332,3785.63
1333,3784.28
1334,3782.36
1335,3781.63
1336,3782.65
1337,3773.71
1338,3773.66
1339,3767.69
1340,3763.79
1341,3769.63
1342,3773.39
1343,3765.54
1344,3757.90
1345,3755.17
1346,3752.70
1347,3744.45
1348,3757.73
1349,3770.75
1350,3764.38
1351,3771.47
1352,3764.57
1353,3755.31
1354,3756.97
1355,3752.74
1356,3746.88
1357,3746.01
1358,3752.68
1359,3745.87
1400,3750.14
1401,3749.60
1402,3752.68
1403,3765.90
1404,3772.41
1405,3777.18
1406,3772.67
1407,3777.59
1408,3765.22
1409,3764.14
1410,3758.66
1411,3754.97
1412,3755.97
1413,3751.05
1414,3750.79
1415,3757.55
1416,3754.76
1417,3755.91
1418,3755.77
1419,3757.91
1420,3761.40
1421,3763.47
1422,3756.72
1423,3751.20
1424,3751.20
1425,3743.00
1426,3748.97
1427,3759.82
1428,3762.32
1429,3759.35
1430,3755.50
1431,3752.30
1432,3750.65
1433,3748.25
1434,3741.14
1435,3747.73
1436,3751.20
1437,3751.17
1438,3756.31
1439,3748.10
1440,3750.62
1441,3758.60
1442,3763.97
1443,3770.49
1444,3775.04
1445,3775.08
1446,3778.94
1447,3782.35
1448,3779.03
1449,3781.58
1450,3784.49
1451,3789.05
1452,3788.35
1453,3790.67
1454,3789.22
1455,3789.34
1456,3788.88
1457,3791.07
1458,3790.68
1459,3790.68
1500,3796.28
